scenario,beacons,range_sigma,bearing_sigma,target_rmse,beacon_position_rmse,beacon_yaw_rmse,mean_cost,mean_iterations,mean_runtime_ms,success_rate
1,2,0.03000000,0.01200000,0.00511406,0.00398408,0.00133005,316.16607869,7.33000000,5.19566000,1.00000000
2,1,0.03000000,0.01200000,0.01382078,0.01013718,,32.65073569,12.75000000,0.66770000,1.00000000
2,2,0.03000000,0.01200000,0.00822387,0.00769380,,62.06368752,9.60000000,0.85545000,1.00000000
3,1,0.03000000,0.01200000,0.76772040,0.57525430,0.25277956,20955.72606192,80.00000000,2.80787000,0.00000000
3,2,0.03000000,0.01200000,0.02364517,0.33107568,0.11777251,14376.71994229,160.00000000,15.14445000,0.00000000
1,1,0.03000000,0.01800000,0.01104901,0.00487685,0.00215434,157.71068089,7.61000000,1.54148000,1.00000000
1,2,0.03000000,0.01800000,0.00642950,0.00522099,0.00193803,314.44869675,8.95000000,6.42191000,1.00000000
2,1,0.03000000,0.01800000,0.01652150,0.01185745,,41.63344131,9.83000000,0.39331000,1.00000000
2,2,0.03000000,0.01800000,0.01012097,0.00930537,,80.63370956,7.75000000,0.45671000,1.00000000
3,1,0.03000000,0.01800000,1.65216554,1.11870380,0.52503999,43880.04410206,80.00000000,2.81319000,0.00000000
3,2,0.03000000,0.01800000,0.02361546,0.94996353,0.30494263,51908.40088727,160.00000000,14.14609000,0.00000000
1,1,0.06000000,0.00000000,0.00703909,0.00072721,0.00012821,81.04727604,5.44000000,1.28221000,1.00000000
1,2,0.06000000,0.00000000,0.00270886,0.00092311,0.00025697,159.67511598,8.28000000,5.64606000,1.00000000
2,1,0.06000000,0.00000000,0.02173967,0.01738685,,96.65161775,9.78000000,0.44337000,0.99000000
2,2,0.06000000,0.00000000,0.01373376,0.01185043,,187.85763851,10.35000000,0.87529000,1.00000000
3,1,0.06000000,0.00000000,0.21240396,0.20148805,0.03382458,4458.30866239,80.00000000,3.12631000,0.00000000
3,2,0.06000000,0.00000000,0.19346711,0.13652190,0.01265477,11587.91869444,160.00000000,14.60349000,0.00000000
1,1,0.06000000,0.00200000,0.00662685,0.00083975,0.00026411,160.18578980,8.42000000,1.84956000,1.00000000
1,2,0.06000000,0.00200000,0.00180421,0.00105845,0.00031407,316.05755307,14.77000000,7.80661000,1.00000000
2,1,0.06000000,0.00200000,0.01974343,0.01546174,,95.64219140,14.77000000,0.95994000,1.00000000
2,2,0.06000000,0.00200000,0.01516865,0.01335828,,187.98993944,9.53000000,1.06711000,1.00000000
3,1,0.06000000,0.00200000,0.06658988,0.05980617,0.00986368,6834.48624775,80.00000000,3.87889000,0.01000000
3,2,0.06000000,0.00200000,0.22411283,0.19982627,0.01206656,223183.94457721,160.00000000,14.81319000,0.00000000
1,1,0.06000000,0.00600000,0.00843171,0.00255962,0.00084592,158.10402771,8.04000000,1.35341000,1.00000000
1,2,0.06000000,0.00600000,0.00426738,0.00274884,0.00087947,318.74099950,10.69000000,5.74770000,1.00000000
2,1,0.06000000,0.00600000,0.02254813,0.01729527,,100.35804168,14.56000000,0.64671000,0.96000000
2,2,0.06000000,0.00600000,0.01482305,0.01281668,,197.89988316,10.50000000,0.84407000,1.00000000
3,1,0.06000000,0.00600000,0.21613625,0.20392875,0.03359622,4649.18777379,80.00000000,2.99007000,0.00000000
3,2,0.06000000,0.00600000,0.19253548,0.13587828,0.01294523,11675.73049906,160.00000000,14.60352000,0.00000000
1,1,0.06000000,0.01200000,0.01111265,0.00484135,0.00202331,158.50981228,6.42000000,1.96574000,1.00000000
1,2,0.06000000,0.01200000,0.00715481,0.00498979,0.00155755,315.42610716,9.96000000,5.14199000,1.00000000
2,1,0.06000000,0.01200000,0.02294469,0.01890233,,105.89341889,11.64000000,0.34235000,0.98000000
2,2,0.06000000,0.01200000,0.01520878,0.01376572,,203.35811454,11.11000000,0.88352000,1.00000000
3,1,0.06000000,0.01200000,0.60468629,0.54702843,0.16636316,8437.96902702,80.00000000,4.12960000,0.00000000
3,2,0.06000000,0.01200000,0.09291489,0.24016398,0.07124742,5031.23644590,160.00000000,16.04627000,0.00000000
1,1,0.06000000,0.01800000,0.01339277,0.00603365,0.00236317,156.32106607,7.00000000,1.77378000,1.00000000
1,2,0.06000000,0.01800000,0.00864991,0.00672602,0.00236804,318.30718600,13.94000000,9.06375000,1.00000000
2,1,0.06000000,0.01800000,0.02341001,0.01862200,,117.18127466,11.07000000,0.57495000,0.99000000
2,2,0.06000000,0.01800000,0.01797746,0.01565516,,215.67969667,10.38000000,0.94505000,0.99000000
3,1,0.06000000,0.01800000,1.01269505,0.84195690,0.32249448,11290.61140238,80.00000000,3.20725000,0.00000000
3,2,0.06000000,0.01800000,0.03669145,0.51482845,0.15898718,9310.54161080,160.00000000,13.93131000,0.00000000
1,1,0.09000000,0.00000000,0.01062184,0.00046206,0.00006998,79.52792382,12.08000000,2.09012000,1.00000000
1,2,0.09000000,0.00000000,0.00220266,0.00067983,0.00021151,158.80479575,13.69000000,8.81520000,1.00000000
2,1,0.09000000,0.00000000,0.02817445,0.02316100,,217.60427667,9.16000000,0.51060000,0.98000000
2,2,0.09000000,0.00000000,0.02249935,0.01897454,,427.61527141,9.77000000,0.91984000,0.99000000
3,1,0.09000000,0.00000000,0.42190406,0.45332329,0.06837846,19141.84607395,80.00000000,3.78712000,0.00000000
3,2,0.09000000,0.00000000,0.41199355,0.21399382,0.00538375,24063.87314470,160.00000000,13.70054000,0.00000000
1,1,0.09000000,0.00200000,0.00980321,0.00092467,0.00028803,157.48412239,9.66000000,2.26674000,1.00000000
1,2,0.09000000,0.00200000,0.00161929,0.00099047,0.00029213,316.56813732,11.71000000,6.56608000,1.00000000
2,1,0.09000000,0.00200000,0.02886526,0.02442555,,220.19671070,11.74000000,0.34575000,0.95000000
2,2,0.09000000,0.00200000,0.01967904,0.01748340,,424.38343544,10.40000000,0.77012000,1.00000000
3,1,0.09000000,0.00200000,0.29340135,0.17793484,0.03006917,70105.27953033,80.00000000,3.93789000,0.00000000
3,2,0.09000000,0.00200000,0.30956987,0.17288812,0.02694751,271799.09120096,160.00000000,14.90593000,0.00000000
1,1,0.09000000,0.00600000,0.01090651,0.00284318,0.00089728,155.34163606,11.62000000,2.52635000,1.00000000
1,2,0.09000000,0.00600000,0.00571714,0.00303387,0.00087835,315.93254949,8.53000000,5.69954000,1.00000000
2,1,0.09000000,0.00600000,0.03272948,0.02684226,,222.44335553,12.59000000,0.64649000,0.89000000
2,2,0.09000000,0.00600000,0.02097831,0.01866171,,441.03046163,9.08000000,0.92630000,0.98000000
3,1,0.09000000,0.00600000,0.42040992,0.45144450,0.06803694,19086.57488417,80.00000000,4.29378000,0.00000000
3,2,0.09000000,0.00600000,0.41061827,0.21343512,0.00576255,24123.07028448,160.00000000,16.88984000,0.00000000
1,1,0.09000000,0.01200000,0.01382744,0.00555086,0.00174220,157.64090098,7.12000000,1.86526000,1.00000000
1,2,0.09000000,0.01200000,0.00828283,0.00610302,0.00165189,314.29265359,6.30000000,5.10346000,1.00000000
2,1,0.09000000,0.01200000,0.03490953,0.02766958,,223.91136870,15.24000000,0.68160000,0.84000000
2,2,0.09000000,0.01200000,0.02355078,0.02136611,,442.90273212,12.56000000,1.06962000,0.98000000
3,1,0.09000000,0.01200000,0.74841138,0.78116156,0.18051349,11631.56445046,80.00000000,3.45000000,0.00000000
3,2,0.09000000,0.01200000,0.25575961,0.35367016,0.06958485,9013.88254374,160.00000000,14.45052000,0.00000000
1,1,0.09000000,0.01800000,0.01667106,0.00769113,0.00268625,157.12500225,6.97000000,2.02502000,1.00000000
1,2,0.09000000,0.01800000,0.01019428,0.00747145,0.00250736,315.12533018,7.40000000,5.41933000,1.00000000
2,1,0.09000000,0.01800000,0.03321491,0.02606758,,238.17561348,13.04000000,0.41816000,0.87000000
2,2,0.09000000,0.01800000,0.02288480,0.02069741,,458.80918174,12.85000000,1.06408000,0.97000000
3,1,0.09000000,0.01800000,0.96745828,0.96919085,0.30111407,9749.27260514,80.00000000,3.10445000,0.00000000
3,2,0.09000000,0.01800000,0.05165600,0.53721489,0.14593033,7856.41407997,160.00000000,14.73449000,0.00000000
