scenario,beacons,trial,target_x,target_y,estimate_x,estimate_y,error,beacon_position_rmse,beacon_yaw_rmse,cost,iterations,runtime_ms,solver_converged,success
1,1,70,1.20000000,-0.75000000,1.20102732,-0.75082532,0.00131778,0.00159225,0.00031387,163.15534459,4,0.95100000,1,1
1,1,71,1.20000000,-0.75000000,1.20039401,-0.74915997,0.00092784,0.00265885,0.00042692,146.58083540,11,1.68300000,1,1
1,1,72,1.20000000,-0.75000000,1.19661592,-0.75290928,0.00446273,0.00244142,0.00128149,184.04341454,4,0.88800000,1,1
1,1,73,1.20000000,-0.75000000,1.19913784,-0.74688014,0.00323679,0.00059407,0.00097750,151.16378252,4,0.97200000,1,1
1,1,74,1.20000000,-0.75000000,1.20343655,-0.74543959,0.00571027,0.00201025,0.00014817,172.18957588,4,0.89500000,1,1
1,1,75,1.20000000,-0.75000000,1.19823616,-0.75051226,0.00183672,0.00179737,0.00107800,151.11597480,4,0.92800000,1,1
1,1,76,1.20000000,-0.75000000,1.20170765,-0.74578044,0.00455201,0.00299552,0.00068435,150.39879992,9,1.39500000,1,1
1,1,77,1.20000000,-0.75000000,1.20421628,-0.74873261,0.00440265,0.00221806,0.00120320,144.19475416,4,0.89600000,1,1
1,1,78,1.20000000,-0.75000000,1.19508226,-0.74821811,0.00523061,0.00116483,0.00034449,155.49829957,12,1.66900000,1,1
1,1,79,1.20000000,-0.75000000,1.19547781,-0.74727865,0.00527787,0.00115642,0.00162217,162.90541627,4,0.89400000,1,1
1,1,80,1.20000000,-0.75000000,1.19829567,-0.74929111,0.00184588,0.00119681,0.00084910,158.78366353,4,0.88600000,1,1
1,1,81,1.20000000,-0.75000000,1.20160733,-0.74878372,0.00201565,0.00069366,0.00005162,160.49863505,5,1.00500000,1,1
1,1,82,1.20000000,-0.75000000,1.20822136,-0.74510062,0.00957051,0.00175732,0.00026951,174.96509185,4,0.91500000,1,1
1,1,83,1.20000000,-0.75000000,1.19930910,-0.74779249,0.00231310,0.00207274,0.00137823,172.77407423,4,0.88500000,1,1
1,1,84,1.20000000,-0.75000000,1.19705845,-0.75110998,0.00314401,0.00161556,0.00018036,172.50748689,4,0.90800000,1,1
1,1,85,1.20000000,-0.75000000,1.19962986,-0.74533362,0.00468103,0.00264684,0.00080857,175.82590858,4,0.90400000,1,1
1,1,86,1.20000000,-0.75000000,1.20232826,-0.74638022,0.00430391,0.00107252,0.00018015,149.01306409,4,0.92400000,1,1
1,1,87,1.20000000,-0.75000000,1.19370324,-0.75536694,0.00827364,0.00113371,0.00040225,163.33097394,80,8.23100000,0,1
1,1,88,1.20000000,-0.75000000,1.20091779,-0.75419929,0.00429841,0.00200434,0.00146451,165.83374158,4,0.88800000,1,1
1,1,89,1.20000000,-0.75000000,1.20361052,-0.75084273,0.00370756,0.00340682,0.00020428,140.81329358,4,0.90700000,1,1
1,1,90,1.20000000,-0.75000000,1.19713732,-0.75759253,0.00811427,0.00334631,0.00171896,163.55623682,4,0.89800000,1,1
1,1,91,1.20000000,-0.75000000,1.20257849,-0.74956299,0.00261527,0.00050066,0.00038681,167.33491383,4,0.93800000,1,1
1,1,92,1.20000000,-0.75000000,1.19481025,-0.74129822,0.01013185,0.00180788,0.00114033,145.21338474,4,0.89500000,1,1
1,1,93,1.20000000,-0.75000000,1.20461936,-0.74360075,0.00789233,0.00397960,0.00271361,130.89610101,4,0.93700000,1,1
1,1,94,1.20000000,-0.75000000,1.20254631,-0.74748303,0.00358033,0.00175892,0.00046271,159.13167945,4,0.92400000,1,1
1,1,95,1.20000000,-0.75000000,1.19279488,-0.75200594,0.00747914,0.00141244,0.00002903,148.62363679,4,0.93100000,1,1
1,1,96,1.20000000,-0.75000000,1.19986867,-0.75153950,0.00154509,0.00186201,0.00061453,180.24124576,3,0.84100000,1,1
1,1,97,1.20000000,-0.75000000,1.19345682,-0.75117113,0.00664716,0.00249612,0.00111660,149.28985138,4,0.92300000,1,1
1,1,98,1.20000000,-0.75000000,1.20212324,-0.74530586,0.00515200,0.00125523,0.00037108,137.73227596,4,0.97200000,1,1
1,1,99,1.20000000,-0.75000000,1.20297043,-0.74600542,0.00497796,0.00074159,0.00086979,161.68007387,5,1.02500000,1,1
1,2,0,1.20000000,-0.75000000,1.20204417,-0.74897370,0.00228734,0.00323193,0.00125340,310.15182023,4,2.76600000,1,1
1,2,1,1.20000000,-0.75000000,1.19666092,-0.75136354,0.00360676,0.00253331,0.00077855,346.36000269,4,3.45300000,1,1
1,2,2,1.20000000,-0.75000000,1.20171616,-0.74900659,0.00198294,0.00249829,0.00074683,317.72353037,4,3.04400000,1,1
1,2,3,1.20000000,-0.75000000,1.19852359,-0.74749415,0.00290845,0.00335082,0.00119684,310.21686681,4,5.33500000,1,1
1,2,4,1.20000000,-0.75000000,1.20075284,-0.75263122,0.00273680,0.00325675,0.00226879,312.33585176,4,6.23900000,1,1
1,2,5,1.20000000,-0.75000000,1.19563488,-0.75138691,0.00458015,0.00200537,0.00105286,277.25663279,4,2.54300000,1,1
1,2,6,1.20000000,-0.75000000,1.20368021,-0.74846801,0.00398634,0.00343598,0.00128225,312.16235425,4,4.94200000,1,1
